date,description,amount
2024-09-01,payroll deposit,3200.00
2024-09-02,rent september,-1450.00
2024-09-03,tesco extra peckham,-42.18
2024-09-04,starbucks #4187,-4.85
2024-09-05,spotify premium,-10.99
2024-09-06,uber trip,-9.40
2024-09-08,sainsbury local,-18.72
2024-09-10,shell gas station,-48.20
2024-09-11,amazon mktplace,-24.99
2024-09-12,costa coffee,-3.95
2024-09-13,tesco extra peckham,-37.41
2024-09-14,netflix monthly,-12.99
2024-09-15,bolt ride,-7.80
2024-09-17,starbucks #4187,-4.85
2024-09-18,tesco extra peckham,-29.62
2024-09-19,pret a manger,-8.50
2024-09-20,sainsbury local,-22.11
2024-09-21,starbucks #4187,-4.85
2024-09-21,shell gas station,-52.30
2024-09-22,tesco extra peckham,-27.41
2024-09-23,amazon mktplace,-19.99
2024-09-24,spotify premium,-10.99
2024-09-25,payroll deposit,3200.00
2024-09-26,tesco extra peckham,-34.18
2024-09-27,uber trip,-12.40
2024-09-28,costa coffee,-3.95
